Timestamp (JD), Filter, VariableStar : Magnitude (Centroid), Ref1 : Magnitude (Centroid), Chk1 : Magnitude (Centroid), Chk2 : Magnitude (Centroid)
2456981.7602893519, Luminance, 9.465, 10.260, 11.030, 11.411
2456981.7618055553, Luminance, 9.529, 10.260, 11.019, 11.399
2456981.7632291666, Luminance, 9.541, 10.260, 11.082, 11.348
2456981.7646412039, Luminance, 9.531, 10.260, 10.986, 11.297
2456981.7660648148, Luminance, 9.522, 10.260, 11.014, 11.395
2456981.7674884261, Luminance, 9.574, 10.260, 11.048, 11.384
2456981.7689004629, Luminance, 9.543, 10.260, 11.046, 11.334
2456981.7703240742, Luminance, 9.619, 10.260, 11.092, 11.325
2456981.7717476850, Luminance, 9.642, 10.260, 11.013, 11.423
2456981.7731597223, Luminance, 9.589, 10.260, 11.037, 11.281
2456981.7745833332, Luminance, 9.635, 10.260, 11.021, 11.324
2456981.7760069445, Luminance, 9.603, 10.260, 10.982, 11.267
2456981.7774189813, Luminance, 9.611, 10.260, 11.039, 11.327
2456981.7788425926, Luminance, 9.613, 10.260, 10.979, 11.635
2456981.7802662039, Luminance, 9.603, 10.260, 10.990, 11.329
